No,項目名,項目値,データ型,必須,許容値,具体例,バリデーション,備考
1,SKUコード,SKU,半角英数字,TRUE,,SSHM102234BKS ,1文字以上、100文字以内,すでに登録済みのSKUであること
2,ロケーションコード,LocationCode,半角英数字,TRUE,,W1,1文字以上、100文字以内,すでに登録済みのロケーションであること
3,反映方法,Mode,列挙型,TRUE,"ADJUSTMENT
SET",SET,,"ADJUSTMENT：差分値反映
SET：絶対値反映"
4,数量 (絶対値),Quantity,整数,TRUE,,10,0以上,
