No,項目名,ヘッダー,データ型,必須,許容値,具体例,バリデーション,備考
1,伝票番号,項目名と同じ,文字列,TRUE,,,,お荷物の追跡コード
2,お届け先コード,項目名と同じ,文字列,FALSE,,,,処理では利用しておらず読み捨てています。
3,お届け先名,項目名と同じ,文字列,FALSE,,,,処理では利用しておらず読み捨てています。
4,荷物状況,項目名と同じ,文字列,FALSE,,,,処理では利用しておらず読み捨てています。
5,日付,項目名と同じ,文字列,FALSE,,,,処理では利用しておらず読み捨てています。
6,時刻,項目名と同じ,文字列,FALSE,,,,処理では利用しておらず読み捨てています。
7,出荷日,項目名と同じ,日付,TRUE,,2026/03/09,,
8,ｻｲｽﾞ品目,項目名と同じ,文字列,FALSE,,,,処理では利用しておらず読み捨てています。
9,運賃,項目名と同じ,文字列,FALSE,,,,処理では利用しておらず読み捨てています。
10,お客様管理番号,項目名と同じ,文字列,TRUE,,,,出荷指示の管理コード
